Id,SalePrice
1461,120834.1944349884
1462,148623.3753254561
1463,182897.6721815892
1464,204006.36185429007
1465,182617.9441624418
1466,169398.44483237868
1467,181072.9023760207
1468,166213.98275393952
1469,191200.31350033372
1470,116987.73727758702
1471,183465.54395365043
1472,101660.48805335502
1473,100154.86790849062
1474,146495.22676588688
1475,118789.24876443444
1476,367815.5285895975
1477,244825.8486235629
1478,282174.70635842474
1479,280707.5812045415
1480,539009.7764532324
1481,319361.2896261887
1482,200537.48189990045
1483,173030.25924986711
1484,163546.4237912848
1485,179074.32608614498
1486,195571.73749504195
1487,333454.0000513221
1488,250362.31856533638
1489,197110.13661100954
1490,237075.42918662837
1491,190835.96966207735
1492,92759.08040294994
1493,179326.7270771131
1494,280863.68788930436
1495,278312.0636161229
1496,227746.96576808006
1497,183392.52646532728
1498,167422.31267724812
1499,160074.60925181024
1500,155663.24616648926
1501,175470.6184872177
1502,153696.3554523616
1503,283551.19670239784
1504,240645.75344508272
1505,227030.55776052043
1506,189966.78144198944
1507,264623.7792085347
1508,198410.08944265975
1509,159719.07633053334
1510,145327.74068838323
1511,148515.34962319914
1512,174949.14093093993
1513,149555.44446687232
1514,155457.21132883063
1515,204373.10319617187
1516,147255.106437304
1517,176264.40378451243
1518,130137.68319946082
1519,216965.58191112417
1520,126917.13494685176
1521,131914.2218820135
1522,177951.81971295853
1523,111711.9935508287
1524,121805.25263815561
1525,121998.53542786093
1526,106917.30639362473
1527,109956.13970325592
1528,141868.88616400262
1529,147540.34910331073
1530,197897.88533544724
1531,108350.03716834616
1532,102756.44785542254
1533,147321.21354929812
1534,123803.20092427974
1535,149425.6535604795
1536,107724.8677913827
1537,66110.69333373236
1538,148670.5080606724
1539,183514.1392618177
1540,97952.64223603296
1541,133584.55408269938
1542,136048.3457599506
1543,187117.5041894243
1544,88294.3062596345
1545,113951.5704689685
1546,123803.15734642673
1547,122709.44561164513
1548,135434.03780861953
1549,116650.04852923127
1550,126059.95505343833
1551,110813.2106554915
1552,130185.38847481874
1553,141420.76089642802
1554,122157.61590932343
1555,164124.0419251933
1556,88265.43175748546
1557,101623.82297177883
1558,104642.08599137969
1559,80872.68486586257
1560,129488.41089488
1561,125350.29480284503
1562,133138.65909505752
1563,121348.57564677933
1564,159219.20297733386
1565,142286.137940019
1566,239220.64323887913
1567,84107.88585555597
1568,230306.6613304008
1569,126172.64675971262
1570,136840.6226572234
1571,110636.03677961508
1572,146559.29161237745
1573,245103.05827401156
1574,125715.7052732687
1575,238012.0987288856
1576,271061.3658214966
1577,184036.03824679385
1578,140820.0904501239
1579,139939.3208090569
1580,194478.55730813718
1581,153460.4273832266
1582,126093.37067348926
1583,310763.79850714875
1584,223786.94956161862
1585,137463.55036658372
1586,76759.04809740052
1587,102742.04835355181
1588,154665.25896673335
1589,100764.3848219217
1590,137895.9476535664
1591,95172.0070722603
1592,121576.07504467554
1593,125624.56241961377
1594,135853.47788164928
1595,105046.3742813055
1596,222638.5233053681
1597,185332.68605790168
1598,208826.12252657107
1599,165043.88381909192
1600,153601.95020321815
1601,74619.47018128593
1602,116289.45413168015
1603,93752.2656701159
1604,250650.4454661301
1605,243104.66481612998
1606,168026.5182145191
1607,182070.7394933361
1608,208294.01057932287
1609,180928.7325549578
1610,146356.8359997539
1611,131981.73570470957
1612,172763.90955891425
1613,172024.54301018306
1614,121130.977958554
1615,96121.29906065474
1616,82159.88666512718
1617,97726.96175846692
1618,128367.86333366792
1619,141129.02008250268
1620,165976.24674793874
1621,138607.1172955298
1622,139900.20605384198
1623,260918.19565231827
1624,215780.06389181674
1625,117859.1642892038
1626,172843.0905000556
1627,194456.03337081976
1628,287865.89690670284
1629,172510.13783916744
1630,363337.06995308073
1631,207597.4954044945
1632,225714.21145531465
1633,168988.98365961408
1634,186461.10653988278
1635,170433.3446618566
1636,152472.63606533717
1637,209104.44619258202
1638,183912.97008144148
1639,189909.5763891886
1640,261065.8679084641
1641,180854.13105480996
1642,237017.5311214502
1643,214361.3937222156
1644,228742.95821507229
1645,218574.8523215248
1646,161516.5569342725
1647,157565.39008970687
1648,128104.79111995646
1649,139805.49304479276
1650,117109.9523314562
1651,124367.84270077298
1652,100788.26160645385
1653,105767.11374385074
1654,144280.6260534919
1655,134637.17219392833
1656,139660.9395918849
1657,145392.53108862904
1658,144792.0529778025
1659,126965.71072341979
1660,158497.58953345066
1661,445687.80488143646
1662,434920.2716049479
1663,383923.12328376836
1664,549717.6408408748
1665,305985.4785544269
1666,333046.24372125056
1667,389931.768730039
1668,338873.5109960923
1669,293517.10058239964
1670,341235.08788215544
1671,263727.62621974986
1672,458496.4995812533
1673,285277.13162065897
1674,242082.23507223098
1675,192032.50911908643
1676,189870.1971695584
1677,212300.12392605143
1678,502240.4957681987
1679,396207.6976081985
1680,321210.3758082915
1681,238887.7091924578
1682,308756.9349591406
1683,184153.4540347704
1684,172189.64216374137
1685,172523.83055823407
1686,170445.30860059694
1687,168616.08646443533
1688,190963.8060483809
1689,193667.04726615534
1690,196071.78456214906
1691,182783.65192615002
1692,253540.25291694078
1693,160302.59428034726
1694,180445.9519099674
1695,163102.32387483286
1696,268253.4705491774
1697,171009.83529517773
1698,350930.34931982897
1699,312800.52296293766
1700,251291.1260654131
1701,261739.16514339868
1702,247741.38140350577
1703,243796.37786430147
1704,285844.1591064796
1705,235794.03232141136
1706,469709.2003316199
1707,210745.10105002258
1708,199984.09643196792
1709,267909.8537577417
1710,219891.19861943854
1711,261695.6935980173
1712,262128.28100006247
1713,279881.5176581639
1714,220277.14128457056
1715,201815.14234697996
1716,183449.6689988867
